inventoryId,seriesId,podcastSeries,entityId,entityType,episodeNumber,episodeTitle,publicationDate,originalField,originalFieldIndex,originalLabel,originalUrl,normalizedUrl,canonicalUrlKey,platform,destinationType,mediaType,official,existingVerificationStatus,existingApprovalState,existingPreferredRank,existingPreferred,retiredDomainIndicator,reviewRequirement,inventoryTimestamp,inventoryGeneratorVersion,duplicateGroup,duplicateStatus,validationJobId
inv-00001,somewhere-in-the-skies-podcast,Somewhere in the Skies,2017-somewhere-in-the-skies-bonus-episode-movie-review-edition-justice-league,podcast_episode,,Somewhere in the Skies Special — BONUS EPISODE - Movie Review Edition: Justice League,2017-12-06,officialMedia,0,Browse Apple Podcasts Series Archive,https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,1e6fb60da53fd5035e63,Apple Podcasts,series,audio,True,verified,approved,6,False,False,network_check_pending,2026-07-28T00:00:00Z,23.5C.1-1.0.0,dup-00001,authoritative,media-audit-303a3cc2642801aa
inv-00002,somewhere-in-the-skies-podcast,Somewhere in the Skies,2017-somewhere-in-the-skies-bonus-episode-movie-review-edition-justice-league,podcast_episode,,Somewhere in the Skies Special — BONUS EPISODE - Movie Review Edition: Justice League,2017-12-06,mediaLinks,0,Browse the official Apple Podcasts archive,https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,1e6fb60da53fd5035e63,Apple Podcasts,series,audio,True,live_verified_fallback,approved,,False,False,network_check_pending,2026-07-28T00:00:00Z,23.5C.1-1.0.0,dup-00001,duplicate,media-audit-303a3cc2642801aa
inv-00003,somewhere-in-the-skies-podcast,Somewhere in the Skies,2017-somewhere-in-the-skies-bonus-episode-movie-review-edition-justice-league,podcast_episode,,Somewhere in the Skies Special — BONUS EPISODE - Movie Review Edition: Justice League,2017-12-06,referenceSources,0,Official Apple Podcasts series archive (episode-specific page unavailable),https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,1e6fb60da53fd5035e63,Apple Podcasts,episode,audio,False,live_verified_fallback,approved,,False,False,network_check_pending,2026-07-28T00:00:00Z,23.5C.1-1.0.0,dup-00001,duplicate,media-audit-303a3cc2642801aa
inv-00004,somewhere-in-the-skies-podcast,Somewhere in the Skies,2017-somewhere-in-the-skies-bonus-episode-movie-review-edition-the-last-jedi,podcast_episode,,Somewhere in the Skies Special — BONUS EPISODE: Movie Review Edition: The Last Jedi,2017-12-21,officialMedia,0,Listen on Apple Podcasts,https://podcasts.apple.com/us/podcast/bonus-episode-movie-review-edition-the-last-jedi/id1227858637?i=1000398008703,https://podcasts.apple.com/us/podcast/bonus-episode-movie-review-edition-the-last-jedi/id1227858637?i=1000398008703,ed1662024ef563030e0a,Apple Podcasts,episode,audio,True,verified,approved,3,False,False,network_check_pending,2026-07-28T00:00:00Z,23.5C.1-1.0.0,dup-00002,authoritative,media-audit-21a820461110a43c
inv-00005,somewhere-in-the-skies-podcast,Somewhere in the Skies,2017-somewhere-in-the-skies-bonus-episode-movie-review-edition-the-last-jedi,podcast_episode,,Somewhere in the Skies Special — BONUS EPISODE: Movie Review Edition: The Last Jedi,2017-12-21,mediaLinks,0,Open exact episode on Apple Podcasts,https://podcasts.apple.com/us/podcast/bonus-episode-movie-review-edition-the-last-jedi/id1227858637?i=1000398008703,https://podcasts.apple.com/us/podcast/bonus-episode-movie-review-edition-the-last-jedi/id1227858637?i=1000398008703,ed1662024ef563030e0a,Apple Podcasts,episode,audio,True,live_verified,approved,,False,False,network_check_pending,2026-07-28T00:00:00Z,23.5C.1-1.0.0,dup-00002,duplicate,media-audit-21a820461110a43c
inv-00006,somewhere-in-the-skies-podcast,Somewhere in the Skies,2017-somewhere-in-the-skies-bonus-episode-movie-review-edition-the-last-jedi,podcast_episode,,Somewhere in the Skies Special — BONUS EPISODE: Movie Review Edition: The Last Jedi,2017-12-21,referenceSources,0,Exact Apple Podcasts episode page,https://podcasts.apple.com/us/podcast/bonus-episode-movie-review-edition-the-last-jedi/id1227858637?i=1000398008703,https://podcasts.apple.com/us/podcast/bonus-episode-movie-review-edition-the-last-jedi/id1227858637?i=1000398008703,ed1662024ef563030e0a,Apple Podcasts,episode,audio,False,live_verified,approved,,False,False,network_check_pending,2026-07-28T00:00:00Z,23.5C.1-1.0.0,dup-00002,duplicate,media-audit-21a820461110a43c
inv-00007,somewhere-in-the-skies-podcast,Somewhere in the Skies,2017-somewhere-in-the-skies-bonus-episode-reviewing-it-with-andrew-sanford,podcast_episode,,"Somewhere in the Skies Special — BONUS EPISODE : Reviewing ""IT"" with Andrew Sanford",2017-09-10,officialMedia,0,Browse Apple Podcasts Series Archive,https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,1e6fb60da53fd5035e63,Apple Podcasts,series,audio,True,verified,approved,6,False,False,network_check_pending,2026-07-28T00:00:00Z,23.5C.1-1.0.0,dup-00003,authoritative,media-audit-927634c74292f011
inv-00008,somewhere-in-the-skies-podcast,Somewhere in the Skies,2017-somewhere-in-the-skies-bonus-episode-reviewing-it-with-andrew-sanford,podcast_episode,,"Somewhere in the Skies Special — BONUS EPISODE : Reviewing ""IT"" with Andrew Sanford",2017-09-10,mediaLinks,0,Browse the official Apple Podcasts archive,https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,1e6fb60da53fd5035e63,Apple Podcasts,series,audio,True,live_verified_fallback,approved,,False,False,network_check_pending,2026-07-28T00:00:00Z,23.5C.1-1.0.0,dup-00003,duplicate,media-audit-927634c74292f011
inv-00009,somewhere-in-the-skies-podcast,Somewhere in the Skies,2017-somewhere-in-the-skies-bonus-episode-reviewing-it-with-andrew-sanford,podcast_episode,,"Somewhere in the Skies Special — BONUS EPISODE : Reviewing ""IT"" with Andrew Sanford",2017-09-10,referenceSources,0,Official Apple Podcasts series archive (episode-specific page unavailable),https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,1e6fb60da53fd5035e63,Apple Podcasts,episode,audio,False,live_verified_fallback,approved,,False,False,network_check_pending,2026-07-28T00:00:00Z,23.5C.1-1.0.0,dup-00003,duplicate,media-audit-927634c74292f011
inv-00010,somewhere-in-the-skies-podcast,Somewhere in the Skies,2017-somewhere-in-the-skies-episode-1,podcast_episode,1,Somewhere in the Skies Episode #1 — Richard Dolan: Media Bias in UFO Coverage,2017-04-17,officialMedia,0,Browse Apple Podcasts Series Archive,https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,https://podcasts.apple.com/us/podcast/somewhere-in-the-skies/id1227858637,1e6fb60da53fd5035e63,Apple Podcasts,series,audio,True,verified,approved,6,False,False,network_check_pending,2026-07-28T00:00:00Z,23.5C.1-1.0.0,dup-00004,authoritative,media-audit-d19327af089ad6f1
